Date (yyyymmddhhmm),CO2 (ppm)
198404032130,347.07
198404062020,346.99
198404062020,347.02
198404062022,346.98
198404062022,347.003
198404062024,347.18
198404062024,347.117
198404062300,346.94
198404062300,346.83
198404102000,346.19
198404102000,346.14
198404121641,346.193
198404121641,-999.99
198404121643,346.11
198404121643,346.15
198404131950,346.71
198404131950,346.85
198404171714,348.197
198404171714,348.987
198404171720,347.25
198404171720,347.103
198404171721,347.02
198404171721,347.02
198404181948,346.94
198404181948,346.92
198404201753,346.06
198404201753,346.27
198404201940,346.6
198404201940,-999.99
198404241639,352.083
198404241639,351.94
198404241640,352.19
198404241640,351.82
198404241644,350.2
198404241644,350.36
198404251955,-999.99
198404251955,348.02
198404260017,347.42
198404260017,347.37
198404272140,346.99
198404272140,346.99
198404272146,-999.99
198404272146,346.987
198404272147,346.94
198404272147,346.977
198404302345,346.91
198404302345,347.14
198405011629,347.76
198405011629,347.753
198405011634,360.1
198405011634,347.77
198405022033,347.66
198405022033,347.68
198405042037,347.92
198405042037,347.84
198405081959,347.387
198405081959,347.363
198405082002,347.24
198405082002,347.32
198405092010,346.35
198405092010,346.32
198405092030,346.59
198405092030,346.52
198405102055,348.38
198405102055,348.55
198405151935,348.133
198405151935,348.66
